component,location,carrier,0
Link,AT0 19,battery discharger,0.00014
Link,AT0 19,electricity distribution grid,0.00014
Link,AT0 19,home battery charger,0.0001
Link,AT0 19,home battery discharger,0.0001
Link,AT0 19,methanolisation,0.00054
Link,AT0 19,rural air heat pump,0.0
Link,AT0 19,rural ground heat pump,0.0
Link,AT0 19,rural resistive heater,174.35554
Link,AT0 19,rural water tanks charger,0.00078
Link,AT0 19,rural water tanks discharger,0.00078
Link,AT0 19,urban central air heat pump,1e-05
Link,AT0 19,urban central ptes heat pump,1e-05
Link,AT0 19,urban central resistive heater,430.86557
Link,AT0 19,urban central water pits charger,0.07074
Link,AT0 19,urban central water pits discharger,0.07074
Link,AT0 19,urban central water tanks charger,0.00047
Link,AT0 19,urban central water tanks discharger,0.00047
Link,AT0 19,urban decentral air heat pump,0.0
Link,AT0 19,urban decentral resistive heater,306.91485
Link,AT0 19,urban decentral water tanks charger,0.00078
Link,AT0 19,urban decentral water tanks discharger,0.00078
Link,AT0 2,BEV charger,2154.52397
Link,AT0 2,DAC,0.0
Link,AT0 2,Fischer-Tropsch,2e-05
Link,AT0 2,H2 Electrolysis,0.00033
Link,AT0 2,H2 Fuel Cell,1e-05
Link,AT0 2,H2 pipeline,0.00674
Link,AT0 2,Sabatier,1e-05
Link,AT0 2,V2G,1077.26198
Link,AT0 2,battery charger,0.00014
Link,AT0 2,battery discharger,0.00014
Link,AT0 2,electricity distribution grid,0.0002
Link,AT0 2,home battery charger,0.0001
Link,AT0 2,home battery discharger,0.0001
Link,AT0 2,methanolisation,0.00092
Link,AT0 2,rural air heat pump,1e-05
Link,AT0 2,rural ground heat pump,0.0
Link,AT0 2,rural resistive heater,142.45144
Link,AT0 2,rural water tanks charger,0.00078
Link,AT0 2,rural water tanks discharger,0.00078
Link,AT0 2,urban central air heat pump,1e-05
Link,AT0 2,urban central ptes heat pump,1e-05
Link,AT0 2,urban central resistive heater,295.428
Link,AT0 2,urban central water pits charger,216.12754
