cost,component,location,carrier,0
capital,Link,AT0 12,H2 Fuel Cell,0.90298
capital,Link,AT0 12,H2 pipeline,9.31097
capital,Link,AT0 12,Sabatier,0.99933
capital,Link,AT0 12,V2G,0.0
capital,Link,AT0 12,battery charger,3.39257
capital,Link,AT0 12,battery discharger,0.0
capital,Link,AT0 12,electricity distribution grid,4.62965
capital,Link,AT0 12,home battery charger,3.46921
capital,Link,AT0 12,home battery discharger,0.0
capital,Link,AT0 12,methanolisation,39.70575
capital,Link,AT0 12,rural air heat pump,1.87799
capital,Link,AT0 12,rural ground heat pump,1.87207
capital,Link,AT0 12,rural resistive heater,732412.77209
capital,Link,AT0 12,rural water tanks charger,0.0
capital,Link,AT0 12,rural water tanks discharger,0.0
capital,Link,AT0 12,urban central air heat pump,1.84509
capital,Link,AT0 12,urban central ptes heat pump,1.85095
capital,Link,AT0 12,urban central resistive heater,14612833.10996
capital,Link,AT0 12,urban central water pits charger,0.0
capital,Link,AT0 12,urban central water pits discharger,0.0
capital,Link,AT0 12,urban central water tanks charger,0.0
capital,Link,AT0 12,urban central water tanks discharger,0.0
capital,Link,AT0 12,urban decentral air heat pump,1.87511
capital,Link,AT0 12,urban decentral resistive heater,6165290.08638
capital,Link,AT0 12,urban decentral water tanks charger,0.0
capital,Link,AT0 12,urban decentral water tanks discharger,0.0
capital,Link,AT0 13,BEV charger,0.0
capital,Link,AT0 13,DAC,4.82884
capital,Link,AT0 13,Fischer-Tropsch,1.64654
capital,Link,AT0 13,H2 Electrolysis,3270464.40753
capital,Link,AT0 13,H2 Fuel Cell,0.91335
capital,Link,AT0 13,H2 pipeline,18940.41757
capital,Link,AT0 13,Sabatier,0.9966
capital,Link,AT0 13,V2G,0.0
capital,Link,AT0 13,battery charger,3.41354
capital,Link,AT0 13,battery discharger,0.0
capital,Link,AT0 13,electricity distribution grid,4.04357
capital,Link,AT0 13,home battery charger,3.4734
capital,Link,AT0 13,home battery discharger,0.0
capital,Link,AT0 13,methanolisation,25.2132
capital,Link,AT0 13,rural air heat pump,1.87714
capital,Link,AT0 13,rural ground heat pump,1.86862
capital,Link,AT0 13,rural resistive heater,4143316.66413
capital,Link,AT0 13,rural water tanks charger,0.0
capital,Link,AT0 13,rural water tanks discharger,0.0
capital,Link,AT0 13,urban central air heat pump,1.83686
capital,Link,AT0 13,urban central ptes heat pump,1.84639
capital,Link,AT0 13,urban central resistive heater,4954214.49976
capital,Link,AT0 13,urban central water pits charger,0.0
capital,Link,AT0 13,urban central water pits discharger,0.0
capital,Link,AT0 13,urban central water tanks charger,0.0
capital,Link,AT0 13,urban central water tanks discharger,0.0
capital,Link,AT0 13,urban decentral air heat pump,1.87304
capital,Link,AT0 13,urban decentral resistive heater,430822.62053
capital,Link,AT0 13,urban decentral water tanks charger,0.0
capital,Link,AT0 13,urban decentral water tanks discharger,0.0
capital,Link,AT0 14,BEV charger,0.0
capital,Link,AT0 14,DAC,2.39764
capital,Link,AT0 14,Fischer-Tropsch,1.78131
capital,Link,AT0 14,H2 Electrolysis,62.37589
capital,Link,AT0 14,H2 Fuel Cell,0.89836
capital,Link,AT0 14,H2 pipeline,9.69866
capital,Link,AT0 14,Sabatier,0.98816
capital,Link,AT0 14,V2G,0.0
capital,Link,AT0 14,battery charger,3.3999
capital,Link,AT0 14,battery discharger,0.0
capital,Link,AT0 14,electricity distribution grid,4.36164
capital,Link,AT0 14,home battery charger,3.47537
capital,Link,AT0 14,home battery discharger,0.0
capital,Link,AT0 14,methanolisation,9.93814
capital,Link,AT0 14,rural air heat pump,1.86596
capital,Link,AT0 14,rural ground heat pump,1.84983
capital,Link,AT0 14,rural resistive heater,6034047.92127
capital,Link,AT0 14,rural water tanks charger,0.0
capital,Link,AT0 14,rural water tanks discharger,0.0
capital,Link,AT0 14,urban decentral air heat pump,1.85426
capital,Link,AT0 14,urban decentral resistive heater,807871.71693
capital,Link,AT0 14,urban decentral water tanks charger,0.0
capital,Link,AT0 14,urban decentral water tanks discharger,0.0
capital,Link,AT0 15,BEV charger,0.0
capital,Link,AT0 15,DAC,2.39766
capital,Link,AT0 15,Fischer-Tropsch,1.80579
capital,Link,AT0 15,H2 Electrolysis,81.08209
capital,Link,AT0 15,H2 Fuel Cell,0.89509
capital,Link,AT0 15,H2 pipeline,9.7278
capital,Link,AT0 15,Sabatier,0.99345
capital,Link,AT0 15,V2G,0.0
capital,Link,AT0 15,battery charger,3.40892
capital,Link,AT0 15,battery discharger,0.0
capital,Link,AT0 15,electricity distribution grid,4.40491
