cost,component,location,carrier,0
capital,Link,AT0 11,urban central water tanks discharger,0.0
capital,Link,AT0 11,urban decentral air heat pump,1.51636
capital,Link,AT0 11,urban decentral resistive heater,8898.47085
capital,Link,AT0 11,urban decentral water tanks charger,0.0
capital,Link,AT0 11,urban decentral water tanks discharger,0.0
capital,Link,AT0 12,BEV charger,0.0
capital,Link,AT0 12,DAC,4.34598
capital,Link,AT0 12,Fischer-Tropsch,15.37505
capital,Link,AT0 12,H2 Electrolysis,32.80769
capital,Link,AT0 12,H2 Fuel Cell,0.76441
capital,Link,AT0 12,H2 pipeline,7.81046
capital,Link,AT0 12,Sabatier,1.05771
capital,Link,AT0 12,V2G,0.0
capital,Link,AT0 12,battery charger,2.80896
capital,Link,AT0 12,battery discharger,0.0
capital,Link,AT0 12,electricity distribution grid,3.79248
capital,Link,AT0 12,home battery charger,2.87693
capital,Link,AT0 12,home battery discharger,0.0
capital,Link,AT0 12,methanolisation,7.58843
capital,Link,AT0 12,rural air heat pump,1.51776
capital,Link,AT0 12,rural ground heat pump,1.51777
capital,Link,AT0 12,rural resistive heater,732412.73958
capital,Link,AT0 12,rural water tanks charger,0.0
capital,Link,AT0 12,rural water tanks discharger,0.0
capital,Link,AT0 12,urban central air heat pump,1.49429
capital,Link,AT0 12,urban central ptes heat pump,1.49719
capital,Link,AT0 12,urban central resistive heater,14612833.23957
capital,Link,AT0 12,urban central water pits charger,0.0
capital,Link,AT0 12,urban central water pits discharger,0.0
capital,Link,AT0 12,urban central water tanks charger,0.0
capital,Link,AT0 12,urban central water tanks discharger,0.0
capital,Link,AT0 12,urban decentral air heat pump,1.53322
capital,Link,AT0 12,urban decentral resistive heater,6165290.11618
capital,Link,AT0 12,urban decentral water tanks charger,0.0
capital,Link,AT0 12,urban decentral water tanks discharger,0.0
capital,Link,AT0 13,BEV charger,0.0
capital,Link,AT0 13,DAC,4.39379
capital,Link,AT0 13,Fischer-Tropsch,14.39713
capital,Link,AT0 13,H2 Electrolysis,588.07438
capital,Link,AT0 13,H2 Fuel Cell,0.77016
capital,Link,AT0 13,H2 pipeline,13.15892
capital,Link,AT0 13,Sabatier,1.05695
capital,Link,AT0 13,V2G,0.0
capital,Link,AT0 13,battery charger,2.81281
capital,Link,AT0 13,battery discharger,0.0
capital,Link,AT0 13,electricity distribution grid,3.33052
capital,Link,AT0 13,home battery charger,2.87301
capital,Link,AT0 13,home battery discharger,0.0
capital,Link,AT0 13,methanolisation,8.52718
capital,Link,AT0 13,rural air heat pump,1.5159
capital,Link,AT0 13,rural ground heat pump,1.51499
capital,Link,AT0 13,rural resistive heater,4143316.73181
capital,Link,AT0 13,rural water tanks charger,0.0
capital,Link,AT0 13,rural water tanks discharger,0.0
capital,Link,AT0 13,urban central air heat pump,1.48716
capital,Link,AT0 13,urban central ptes heat pump,1.49315
capital,Link,AT0 13,urban central resistive heater,4954214.5734
capital,Link,AT0 13,urban central water pits charger,0.0
capital,Link,AT0 13,urban central water pits discharger,0.0
capital,Link,AT0 13,urban central water tanks charger,0.0
capital,Link,AT0 13,urban central water tanks discharger,0.0
capital,Link,AT0 13,urban decentral air heat pump,1.51937
capital,Link,AT0 13,urban decentral resistive heater,430822.60784
capital,Link,AT0 13,urban decentral water tanks charger,0.0
capital,Link,AT0 13,urban decentral water tanks discharger,0.0
capital,Link,AT0 14,BEV charger,0.0
capital,Link,AT0 14,DAC,2.18306
capital,Link,AT0 14,Fischer-Tropsch,10.30818
capital,Link,AT0 14,H2 Electrolysis,41.71417
capital,Link,AT0 14,H2 Fuel Cell,0.76379
capital,Link,AT0 14,H2 pipeline,6.02138
capital,Link,AT0 14,Sabatier,1.04782
capital,Link,AT0 14,V2G,0.0
capital,Link,AT0 14,battery charger,2.80589
capital,Link,AT0 14,battery discharger,0.0
capital,Link,AT0 14,electricity distribution grid,3.72815
capital,Link,AT0 14,home battery charger,2.87861
capital,Link,AT0 14,home battery discharger,0.0
capital,Link,AT0 14,methanolisation,5.29381
capital,Link,AT0 14,rural air heat pump,1.50488
capital,Link,AT0 14,rural ground heat pump,1.49863
capital,Link,AT0 14,rural resistive heater,6804396.80768
capital,Link,AT0 14,rural water tanks charger,0.0
capital,Link,AT0 14,rural water tanks discharger,0.0
capital,Link,AT0 14,urban decentral air heat pump,1.50828
capital,Link,AT0 14,urban decentral resistive heater,37522.96986
capital,Link,AT0 14,urban decentral water tanks charger,0.0
capital,Link,AT0 14,urban decentral water tanks discharger,0.0
capital,Link,AT0 15,BEV charger,0.0
capital,Link,AT0 15,DAC,2.1898
capital,Link,AT0 15,Fischer-Tropsch,20.19852
capital,Link,AT0 15,H2 Electrolysis,63.82151
capital,Link,AT0 15,H2 Fuel Cell,0.76382
capital,Link,AT0 15,H2 pipeline,8.43432
capital,Link,AT0 15,Sabatier,1.05495
capital,Link,AT0 15,V2G,0.0
capital,Link,AT0 15,battery charger,2.81105
capital,Link,AT0 15,battery discharger,0.0
capital,Link,AT0 15,electricity distribution grid,3.75052
capital,Link,AT0 15,home battery charger,2.87822
capital,Link,AT0 15,home battery discharger,0.0
capital,Link,AT0 15,methanolisation,9.83578
capital,Link,AT0 15,rural air heat pump,1.50467
capital,Link,AT0 15,rural ground heat pump,1.49768
capital,Link,AT0 15,rural resistive heater,2377617.4156
capital,Link,AT0 15,rural water tanks charger,0.0
capital,Link,AT0 15,rural water tanks discharger,0.0
capital,Link,AT0 15,urban decentral air heat pump,1.50712
capital,Link,AT0 15,urban decentral resistive heater,1524743.36369
capital,Link,AT0 15,urban decentral water tanks charger,0.0
capital,Link,AT0 15,urban decentral water tanks discharger,0.0
capital,Link,AT0 16,BEV charger,0.0
capital,Link,AT0 16,DAC,2.19842
capital,Link,AT0 16,Fischer-Tropsch,170.15389
capital,Link,AT0 16,H2 Electrolysis,1092.62122
capital,Link,AT0 16,H2 Fuel Cell,0.76071
capital,Link,AT0 16,H2 pipeline,5.74182
capital,Link,AT0 16,Sabatier,1.05973
capital,Link,AT0 16,V2G,0.0
capital,Link,AT0 16,battery charger,2.81954
capital,Link,AT0 16,battery discharger,0.0
capital,Link,AT0 16,electricity distribution grid,3.39866
capital,Link,AT0 16,home battery charger,2.8842
capital,Link,AT0 16,home battery discharger,0.0
capital,Link,AT0 16,methanolisation,80.80539
capital,Link,AT0 16,rural air heat pump,1.50745
capital,Link,AT0 16,rural ground heat pump,1.50014
capital,Link,AT0 16,rural resistive heater,2710305.71864
capital,Link,AT0 16,rural water tanks charger,0.0
capital,Link,AT0 16,rural water tanks discharger,0.0
capital,Link,AT0 16,urban decentral air heat pump,1.50893
capital,Link,AT0 16,urban decentral resistive heater,8473611.16388
capital,Link,AT0 16,urban decentral water tanks charger,0.0
capital,Link,AT0 16,urban decentral water tanks discharger,0.0
capital,Link,AT0 17,BEV charger,0.0
capital,Link,AT0 17,DAC,2.1945
capital,Link,AT0 17,Fischer-Tropsch,15.52757
capital,Link,AT0 17,H2 Electrolysis,49.14002
capital,Link,AT0 17,H2 Fuel Cell,0.76237
capital,Link,AT0 17,H2 pipeline,2.613
capital,Link,AT0 17,Sabatier,1.05306
capital,Link,AT0 17,V2G,0.0
capital,Link,AT0 17,battery charger,2.81103
capital,Link,AT0 17,battery discharger,0.0
capital,Link,AT0 17,electricity distribution grid,3.57138
capital,Link,AT0 17,home battery charger,2.88343
capital,Link,AT0 17,home battery discharger,0.0
capital,Link,AT0 17,methanolisation,7.66876
